Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,session,participant,date,exp_name,frameRate,
,,,,,,,None,,,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
7_1_5.png,bee,None,0,0,0,0,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
7_1_8.png,bee,None,0,1,1,1,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
7_1_2.png,bee,None,0,2,2,2,,['t'],0,[9.608268737792969e-05],001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
7_1_12.png,bee,None,0,3,3,3,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_4.png,key,right,0,4,4,4,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_7.png,key,None,0,5,5,5,,['t'],0,[9.584426879882812e-05],001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_11.png,key,None,0,6,6,6,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_14.png,key,None,0,7,7,7,,['t'],0,[0.0001270771026611328],001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_5.png,key,None,0,8,8,8,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
36_1_2.png,key,None,0,9,9,9,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
30_1_10.png,dolphin,right,0,10,10,10,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
30_1_8.png,dolphin,None,0,11,11,11,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_3.png,cockroach,right,0,12,12,12,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_7.png,cockroach,None,0,13,13,13,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_10.png,cockroach,None,0,14,14,14,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_13.png,cockroach,None,0,15,15,15,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_9.png,cockroach,None,0,16,16,16,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
3_1_5.png,cockroach,None,0,17,17,17,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
11_1_1.png,chicken,right,0,18,18,18,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
11_1_2.png,chicken,None,0,19,19,19,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
11_1_3.png,chicken,None,0,20,20,20,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
5_1_1.png,spider,right,0,21,21,21,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
5_1_2.png,spider,None,0,22,22,22,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
32_1_13.png,car,right,0,23,23,23,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
32_1_14.png,car,None,0,24,24,24,,None,0,,001,test,2022_Apr_25_1140,DecoderConst_fMRI,59.95922953542827,
